Cube ID,Timestamp,Temperature Layer A,Temperature Layer B,Door,Humidity Layer A,Humidity Layer B
1886,2000-01-01 00:00:00,21.45849078976045,29.566958681168664,0,72,49
1547,2000-01-01 01:00:00,27.461149006695695,25.147109554675342,0,50,37
1654,2000-01-01 02:00:00,16.545168346706234,24.41412805742449,0,55,69
1425,2000-01-01 03:00:00,24.757917770452863,19.346515947320142,1,69,32
1530,2000-01-01 04:00:00,24.74601394753096,21.079050382575943,0,79,43
1426,2000-01-01 05:00:00,25.364482181503607,18.77682648183992,0,46,69
1809,2000-01-01 06:00:00,23.47370009438644,15.246620057658255,1,60,35
1634,2000-01-01 07:00:00,22.426593590563897,19.160904412548483,1,64,38
1415,2000-01-01 08:00:00,17.2707903844684,31.489618770566793,1,63,46
1423,2000-01-01 09:00:00,18.185402682084856,23.590955187666445,0,68,63
1682,2000-01-01 10:00:00,27.96727668769662,21.05480800324888,0,51,55
1418,2000-01-01 11:00:00,20.014997729433652,23.390330484612093,1,54,33
1854,2000-01-01 12:00:00,21.366701117482357,22.433240549027673,1,52,43
1019,2000-01-01 13:00:00,23.5966416940146,19.578509232638478,1,69,69
1799,2000-01-01 14:00:00,22.77293552142089,21.941435165837902,1,67,64
1337,2000-01-01 15:00:00,24.393641541363316,21.346972593809333,1,64,46
1916,2000-01-01 16:00:00,32.247842141969834,16.67819340707582,1,68,62
1421,2000-01-01 17:00:00,23.494422800395515,13.082485211581275,1,66,36
1748,2000-01-01 18:00:00,22.297309237991296,17.862073389638937,1,48,42
1187,2000-01-01 19:00:00,16.076294732861655,24.45116831078914,0,65,60
1158,2000-01-01 20:00:00,28.469303999335494,20.65419246172281,1,78,64
1174,2000-01-01 21:00:00,23.8068990164969,25.297553505036007,0,73,68
1979,2000-01-01 22:00:00,21.713338531566713,15.363009177114776,0,51,66
1895,2000-01-01 23:00:00,31.27500050297673,26.11157525393469,1,66,44
1880,2000-01-02 00:00:00,25.394282190167203,14.121358188390133,1,45,56
1822,2000-01-02 01:00:00,21.835310718046657,19.99187334030304,1,76,32
1649,2000-01-02 02:00:00,22.214360758749176,21.28709413785367,0,67,55
1696,2000-01-02 03:00:00,28.4158035982187,19.47179271834173,1,71,36
1438,2000-01-02 04:00:00,31.955060710792342,19.24587104181098,1,56,37
1964,2000-01-02 05:00:00,22.992715500100722,22.161976346397537,0,48,47
1560,2000-01-02 06:00:00,21.848382015053488,25.58573427469956,0,78,58
1047,2000-01-02 07:00:00,23.30711226621992,23.84821837948981,1,69,47
1760,2000-01-02 08:00:00,33.259742080633494,17.17374123211685,1,71,66
1848,2000-01-02 09:00:00,25.481019790849356,21.02757626412631,1,75,35
1442,2000-01-02 10:00:00,30.44906166721107,18.19933733117386,0,54,46
1293,2000-01-02 11:00:00,16.015981957710423,17.17853197970462,0,61,31
1472,2000-01-02 12:00:00,13.66712723596131,25.153023338762402,0,75,46
1001,2000-01-02 13:00:00,28.071818354641277,20.991272962752124,0,62,42
1683,2000-01-02 14:00:00,25.478120111068193,14.797566184788039,1,55,68
1893,2000-01-02 15:00:00,29.312702653328646,23.77552346713164,0,70,68
1252,2000-01-02 16:00:00,18.30095533608024,19.462049223980312,0,46,43
1170,2000-01-02 17:00:00,25.865589370444138,12.800402059692905,0,49,42
1959,2000-01-02 18:00:00,24.952446152098897,20.053480944204225,0,73,41
1015,2000-01-02 19:00:00,23.293539591041437,22.170120372725542,1,50,35
1258,2000-01-02 20:00:00,27.767998597436794,20.167687631573493,0,62,45
1897,2000-01-02 21:00:00,30.410029875063685,20.484350655337895,1,76,63
1442,2000-01-02 22:00:00,36.820858317299525,15.311830474111975,1,44,59
1891,2000-01-02 23:00:00,25.839367451302003,17.06306368722825,0,72,39
1986,2000-01-03 00:00:00,17.46919370980997,16.913849731045097,0,67,65
1801,2000-01-03 01:00:00,23.107073820544024,15.304259914045875,0,41,53
1987,2000-01-03 02:00:00,32.3567396186096,24.845748716262513,1,79,38
1726,2000-01-03 03:00:00,22.833312405666486,19.287279371977714,0,43,63
1377,2000-01-03 04:00:00,27.539128424465332,21.03275754743,0,60,59
1523,2000-01-03 05:00:00,19.06732708213678,21.96343443964536,1,74,31
1355,2000-01-03 06:00:00,25.496480686929836,16.392490942497798,1,67,34
